"V1","V2"
"GAB1","BTC"
"GAB1","EREG"
"GAB1","VEGFA"
"GAB1","NGF"
"GAB1","RET"
"PPP1R15A","MINK1"
"KLHL14","KLHL26"
"ROCK1","VEGFA"
"ROCK1","SHB"
"ROCK1","SLC9A1"
"ROCK1","GAB1"
"NLRP3","TLR6"
"NLRP3","USP50"
"NLRP3","NLRP5"
"NLRP3","MEFV"
"NLRP3","IL6"
"NLRP3","TLR2"
"NLRP3","TLR3"
"NLRP3","SUGT1"
"NLRP3","TLR4"
"PPP4R1","PPP1R15A"
"TOMM40","ZNF598"
"TOMM40","TRABD"
"TOMM40","NEK11"
"VHL","HIF3A"
"VHL","FBXO9"
"VHL","WWP1"
"VHL","STK38"
"VHL","SPSB1"
"VHL","WSB2"
"VHL","KLHL25"
"VHL","VEGFA"
"VHL","SPSB3"
"VHL","TRIM36"
"VHL","NEK8"
"VHL","ASB17"
"VHL","UBE2N"
"ZBP1","NFKBIB"
"ZBP1","RIPK3"
"ZBP1","DTX4"
"KCNA5","KCNA2"
"KCNA5","PRKCQ"
"NUDCD3","KLHL6"
"NUDCD3","KLHL29"
"NUDCD3","NEK8"
"NUDCD3","KLHL14"
"CAMK1G","CALML4"
"CAMK1G","CALML6"
"BRK1","WASL"
"BRK1","WASF1"
"BRK1","NCKAP1L"
"BRK1","SHB"
"HLA-DRB5","CAPZA3"
"HLA-DRB5","DCTN6"
"HLA-DRB5","PRKCQ"
"HLA-DRB5","YWHAE"
"TNFSF10","RIPK3"
"EIF2AK1","NFKBIB"
"SIRT2","WDTC1"
"NLRP2","NLRP5"
"NLRP2","MEFV"
"NLRP2","SUGT1"
"PRKAR2B","PRKX"
"PRKAR2B","TPX2"
"PRKAR2B","SFI1"
"PRKAR2B","STK36"
"PRKAR2B","TUBG2"
"PRKAR2B","TTBK2"
"PRKAR2B","TUBGCP5"
"PRKAR2B","SSNA1"
"PRKAR2B","KIF24"
"PRKAR2B","SDCCAG8"
"PRKAR2B","TUBGCP4"
"PRKAR2B","C2CD3"
"PRKAR2B","YWHAE"
"TCOF1","ZNF598"
"TCOF1","TUBGCP4"
"UBE3A","FBXO9"
"UBE3A","WWP1"
"UBE3A","SPSB1"
"UBE3A","SGK223"
"UBE3A","KLHL25"
"UBE3A","SUGT1"
"UBE3A","TRIM36"
"UBE3A","TP53BP2"
"UBE3A","ASB17"
"UBE3A","UBE2N"
"UBE3A","YWHAE"
"UBE3A","VHL"
"TRIM50","FBXO9"
"TRIM50","WWP1"
"TRIM50","SPSB1"
"TRIM50","KLHL25"
"TRIM50","TRIM36"
"TRIM50","ASB17"
"TRIM50","UBE2N"
"TRIM50","VHL"
"TRIM50","UBE3A"
"PI4K2A","PIK3R6"
"PI4K2A","WWP1"
"PI4K2A","PIK3R5"
"PI4K2A","PIK3C2B"
"CLN8","BNIP3L"
"PCNT","TPX2"
"PCNT","SFI1"
"PCNT","TUBG2"
"PCNT","TTBK2"
"PCNT","TUBGCP5"
"PCNT","SSNA1"
"PCNT","KIF24"
"PCNT","SDCCAG8"
"PCNT","TUBGCP4"
"PCNT","C2CD3"
"PCNT","YWHAE"
"PCNT","PRKAR2B"
"EPHB1","YES1"
"EPHB1","PAK3"
"EPHB1","PRKCG"
"SGTA","BTC"
"SGTA","RARRES3"
