"Index","Prot"
"763","AGTR1"
"764","DNMT3L"
"765","CENPN"
"766","PPP2R2B"
"767","HIST1H2AH"
"768","H2AFV"
"769","PSMD10"
"770","AGO2"
"771","MYO6"
"772","PSME1"
"773","SPPL2B"
"774","FLII"
"775","PSMD1"
"776","RPL5"
"777","AHI1"
"778","LTBR"
"779","SRSF6"
"780","ELF3"
"781","NCAPD2"
"782","ALMS1"
"783","PSMD12"
"784","CENPW"
"785","TJP1"
"786","RPS12"
"787","HSPA2"
"788","USP19"
"789","NDE1"
"790","BAG4"
"791","MAP2K3"
"792","CLSPN"
"793","COMMD7"
"794","DYNC1LI1"
"795","PRKCI"
"796","TBK1"
"797","BCL2L1"
"798","RAD21"
"799","BUB1"
"800","FOXA1"
"801","PAFAH1B1"
"802","RAC3"
"803","MAP1LC3B"
"804","ETHE1"
"805","TXNIP"
"806","DTL"
"807","MPRIP"
"808","ALYREF"
"809","CDCA5"
"810","E2F8"
"811","MX1"
"812","LMO2"
"813","CD40"
"814","MAP2K7"
"815","PRKCZ"
"816","NMI"
"817","CDKN1B"
"818","TAB1"
"819","IER3"
"820","MYD88"
"821","DUT"
"822","ABCB6"
"823","MDM4"
"824","IL1A"
"825","DDX19B"
"826","KIF22"
"827","KIF20A"
"828","SMC1A"
"829","CDKN3"
"830","SYK"
"831","PIK3R1"
"832","PAK1"
"833","TPR"
"834","CD274"
"835","MAPK10"
"836","CLASP2"
"837","PLK2"
"838","HIST1H2BM"
"839","PRKCA"
"840","LPAR1"
"841","NSL1"
"842","HYPK"
"843","MTPN"
"844","PSMD4"
"845","SLBP"
"846","PSMB4"
"847","TPM4"
"848","CCNF"
"849","RAN"
"850","DDX58"
"851","MYO1B"
"852","PSMD13"
"853","IL16"
"854","ANAPC2"
"855","NF2"
"856","PSMA1"
"857","SKP1"
"858","PRKCD"
"859","PTGIS"
"860","KAT2A"
"861","SORD"
"862","CCL5"
"863","NUP210"
"864","CCND2"
"865","HIST2H2AC"
"866","MZT2B"
"867","PTMA"
"868","PRMT5"
"869","MAD2L1"
"870","CPT1A"
"871","RPS6KA5"
"872","PLK1"
"873","NUPL2"
"874","PPP2CB"
"875","RPL34"
"876","NR2F1"
"877","HMGB1"
"878","SAT1"
"879","IL33"
"880","PIAS3"
"881","CYP2C9"
"882","LYZ"
"883","UIMC1"
"884","GADD45A"
"885","MYO1D"
"886","POLE2"
"887","LGALS1"
"888","H1FX"
"889","ICK"
"890","PLA2G2A"
"891","AFF1"
"892","NUF2"
"893","CDK11A"
"894","ANAPC15"
"895","MADD"
"896","PSMC1"
"897","DUSP1"
"898","HAVCR2"
"899","ANAPC10"
"900","GPC6"
"901","MAP3K5"
"902","AJUBA"
"903","LPAR2"
"904","B9D2"
"905","LIMCH1"
"906","PSME2"
"907","ARG1"
"908","NSMAF"
"909","FGF2"
"910","HAUS8"
"911","TLR1"
"912","TNFAIP8"
"913","MAP3K14"
"914","MYH9"
"915","CDK12"
"916","RBCK1"
"917","SETD7"
"918","CCDC102B"
"919","NEK2"
"920","TANK"
"921","RANGAP1"
"922","CPEB2"
"923","TNIK"
"924","CCNB1IP1"
"925","LRRC59"
"926","IRF2"
"927","OIP5"
"928","PRKACB"
"929","ORC1"
"930","TUBA1B"
"931","TUBG1"
"932","TNFRSF14"
"933","CYP2C8"
"934","TP63"
"935","IRF3"
"936","PPP2R2D"
"937","KIF14"
"938","SMAD4"
"939","MAP3K3"
"940","IRF8"
"941","SIRT6"
"942","JUP"
"943","HSPA6"
"944","TERT"
"945","DPF3"
"946","TAF4B"
"947","ERC1"
"948","WEE1"
"949","NSUN2"
"950","SQSTM1"
"951","ELANE"
"952","TOP2A"
"953","DYNC1LI2"
"954","PRPS1"
"955","SMC4"
"956","TXN2"
"957","CARD11"
"958","MLKL"
"959","CEBPD"
"960","IRF7"
"961","SMC2"
"962","SSBP1"
"963","STIL"
"964","SERBP1"
"965","ORC4"
"966","RAB1B"
"967","KAT5"
"968","KNSTRN"
"969","MAPK9"
"970","PSMC5"
"971","CEP97"
"972","KIF4A"
"973","UBE2I"
"974","CDC45"
"975","NOS3"
"976","CDC7"
"977","PIDD1"
"978","MRPS23"
"979","ABCA1"
"980","USP14"
"981","CCL2"
"982","CDT1"
"983","TLR9"
"984","ITGB3"
"985","GEMIN4"
"986","CDK5"
"987","ANAPC1"
"988","SGOL1"
"989","PPP1R13L"
"990","PLK4"
"991","COMMD2"
"992","KPNA7"
"993","APBA2"
"994","HAUS6"
"995","DLGAP5"
"996","GTF2E1"
"997","TNFRSF12A"
"998","DNM2"
"999","CDC6"
"1000","RPS24"
"1001","CENPI"
"1002","LACTB"
"1003","ZBTB7A"
"1004","PSMC3"
"1005","PPARD"
"1006","KIF2A"
"1007","STAT6"
"1008","CUTA"
"1009","NASP"
"1010","YWHAG"
"1011","MYL12A"
"1012","TEAD4"
"1013","TBP"
"1014","GLIS1"
"1015","SNRPE"
"1016","C6orf203"
"1017","UBB"
"1018","CDK5RAP3"
"1019","SHFM1"
"1020","NUDC"
"1021","CEP89"
"1022","CLASP1"
"1023","B9D1"
"1024","HAUS3"
"1025","NGFR"
"1026","TUBA1A"
"1027","HGF"
"1028","CCL20"
"1029","AKIP1"
"1030","NCAPG"
"1031","RFFL"
"1032","NUP133"
