"node","type"
"IRF6",2
"IFIT5",2
"NUP88",2
"GZMA",2
"MBOAT1",2
"FANCC",2
"HLA-E",2
"FGFR3",2
"MARK4",2
"RPSA",2
"TMEM173",2
"SGTA",2
"SDHA",2
"ASB9",2
"UBE3A",2
"XRCC5",2
"VHL",2
"TOMM40",2
"NDUFC2",2
"CD68",2
"STK40",2
"IRF9",2
"MPZL1",2
"MKKS",2
"CHAT",2
"MYOC",2
"BCL2L12",2
"SLC27A3",2
"TIMM44",2
"FUNDC1",2
"PIGR",2
"VDAC1",2
"SLC9A1",2
"IFI35",2
"ARL8A",2
"C11orf73",2
"ST13",2
"HLA-G",2
"TLR4",2
"DNAJB12",2
"TXN",2
"WT1",2
"PARP9",2
"SLC2A14",2
"KCNJ10",2
"MX2",2
"NOX5",2
"SYNGR1",2
"TROVE2",2
"TP53BP2",2
"IFNA2",2
"IL10",2
"NHLRC1",2
"STAT2",2
"SIRT3",2
"GLIPR1",2
"SUV420H2",2
"DNAJC6",2
"HSPA12B",2
"PPP1R10",2
"NUP37",2
"KDM4B",2
"TTC1",2
"PIGK",2
"METTL21A",2
"TRIM65",2
"SUGT1",2
"TRAF3IP2",2
"APOBEC3G",2
"RAB37",2
"HMGCLL1",2
"VDAC3",2
"XAF1",2
"PRCP",2
"S100B",2
"PRKCG",2
"HSPB6",2
"SLC2A3",2
"TTI1",2
"ZAP70",2
"DONSON",2
"VEGFA",2
"TTI2",2
"IFI27",2
"TEAD3",2
"NR1I3",2
"ARRDC4",2
"TLR3",2
"USP17L2",2
"CFAP52",2
"TLR2",2
"TRIAP1",2
"MANBA",2
"IFNG",2
"DDIT4",2
"THRB",2
"WDR82",2
"SIRPA",2
"OAS1",2
"UNK",2
"RNASEL",2
"CXCL10",2
"TCAP",2
"NFKBIB",2
"TSPAN6",2
"HPSE",2
"ATP8A1",2
"CEACAM6",2
"ZW10",2
"PHLDA1",2
"ATP11B",2
"OAS2",2
"USP18",2
"FPR1",2
"POM121C",2
"IFI44",2
"YY1",2
"ISG20",2
"TLR5",2
"TYRP1",2
"TMEM179B",2
"VRK3",2
"IP6K2",2
"CEACAM8",2
"SLCO4C1",2
"VRK1",2
"RCE1",2
"TTC3",2
"LRMP",2
"RHO",2
"VMP1",2
"IFITM2",2
"WDTC1",2
"RAB3D",2
"TRMT12",2
"XIAP",2
"NLRP12",2
"IFNB1",2
"OLR1",2
"RAB44",2
"BRI3",2
"NFAM1",2
"RTP4",2
"IFI6",2
"TLR6",2
"TLR10",2
"TLR8",2
"TLR7",2
"IFITM1",2
"SAMD9L",2
"NLRC5",2
"TRIM40",2
"LILRA4",2
"VNN1",2
"USP17L13",2
"USP17L1P",2
"USP17L11",2
"USP17L17",2
"USP17L15",2
"USP17L10",2
"USP17L12",2
"USP17L18",2
"USP17L19",2
"USP17L21",2
"USP17L20",2
"USP17L22",2
"USP17L5",2
"USP17L4",2
"USP17L3",2
"ZCCHC3",2
"ZMYND19",2
"TSSK6",2
"ZFP36",2
"VIMP",2
"TTC9B",2
"USP17L8",2
"negative regulation of plasmacytoid dendritic cell cytokine production",6
"DNA binding",6
"RNA binding",6
"RNA helicase activity",6
"double-stranded RNA binding",6
"single-stranded RNA binding",6
"protein binding",6
"ATP binding",6
"nucleus",6
"cytoplasm",6
"multivesicular body",6
"Golgi apparatus",6
"cytosol",6
"plasma membrane",6
"response to unfolded protein",6
"metalloendopeptidase inhibitor activity",6
"zinc ion binding",6
"detection of virus",6
"response to virus",6
"cell surface",6
"negative regulation of endopeptidase activity",6
"membrane",6
"integral component of membrane",6
"viral process",6
"apical plasma membrane",6
"protein deubiquitination",6
"protein sumoylation",6
"negative regulation of cell growth",6
"negative regulation of cell migration",6
"anchored component of membrane",6
"negative regulation of type I interferon production",6
"positive regulation of interferon-alpha production",6
"positive regulation of interferon-beta production",6
"regulation of actin cytoskeleton organization",6
"response to interferon-gamma",6
"regulation of type III interferon production",6
"response to interferon-alpha",6
"response to interferon-beta",6
"positive regulation of interferon-beta secretion",6
"azurophil granule membrane",6
"cytoplasmic pattern recognition receptor signaling pathway in response to virus",6
"MDA-5 signaling pathway",6
"B cell activation",6
"identical protein binding",6
"protein homodimerization activity",6
"ribonucleoprotein complex binding",6
"positive regulation of I-kappaB kinase/NF-kappaB signaling",6
"neutrophil degranulation",6
"protein insertion into mitochondrial outer membrane",6
"negative regulation of viral genome replication",6
"innate immune response",6
"membrane raft",6
"chaperone-mediated protein complex assembly",6
"defense response to virus",6
"type I interferon signaling pathway",6
"positive regulation of response to cytokine stimulus",6
"extracellular exosome",6
"positive regulation of leukocyte proliferation",6
"cellular response to exogenous dsRNA",6
"negative regulation of intracellular transport of viral material",6
"positive regulation of interferon-alpha secretion",6
"positive regulation of tumor necrosis factor secretion",6
"positive regulation of interleukin-6 secretion",6
