"V1","V2"
"SPSB1","FBXW10"
"SPSB1","UBE2Q1"
"SPSB1","FBXO9"
"SPSB1","WWP1"
"SPSB1","UBE2Q2"
"SPSB1","UBE2G2"
"SPSB1","UBE2J2"
"PRICKLE1","PSMB11"
"RRM1","WDHD1"
"KLHL25","ZNRF2"
"KLHL25","ZNF645"
"KLHL25","WSB1"
"KLHL25","UNKL"
"KLHL25","RNF217"
"KLHL25","UBE2F"
"KLHL25","FBXO41"
"KLHL25","KBTBD13"
"KLHL25","UBE3B"
"KLHL25","UBE3D"
"KLHL25","FBXL22"
"KLHL25","UFL1"
"KLHL25","FBXW9"
"KLHL25","RNF182"
"KLHL25","FBXW10"
"KLHL25","UBE2Q1"
"KLHL25","FBXO9"
"KLHL25","WWP1"
"KLHL25","UBE2Q2"
"KLHL25","UBE2G2"
"KLHL25","UBE2J2"
"KLHL25","SPSB1"
"ZNRD1","H2AFB1"
"APOBEC3F","APOBEC4"
"MYSM1","KIAA2012"
"H2AFJ","HOXB3"
"H2AFJ","H2AFB1"
"H2AFJ","FOSB"
"H2AFJ","YY1"
"H2AFJ","SPI1"
"H2AFJ","TNRC6C"
"H2AFJ","ZNRD1"
"SPC24","ZWILCH"
"SPC24","ZWINT"
"SPC24","SPC25"
"SPC24","ZW10"
"RNASEL","IFITM1"
"RNASEL","IFI6"
"RNASEL","IFITM2"
"RNASEL","IP6K2"
"RNASEL","ISG20"
"RNASEL","OAS2"
"CXCL1","LPAR3"
"CXCL1","CXCL3"
"CXCL1","CCL4L1"
"CXCL1","IL4"
"CXCL1","IL17A"
"CXCL1","CXCL2"
"CXCL1","HPSE"
"CXCL1","IL6"
"CXCL1","CCL4"
"GBP3","TRIM48"
"GBP3","HLA-DQB1"
"GBP3","HLA-DQA2"
"GBP3","TRIM62"
"GBP3","TRIM22"
"GBP3","OAS2"
"GBP3","FCGR1B"
"TRIM68","GBP4"
"TRIM68","GBP7"
"TRIM68","HLA-DQB1"
"TRIM68","HLA-DQA2"
"TRIM68","GBP6"
"TRIM68","GBP5"
"TRIM68","OAS2"
"TRIM68","FCGR1B"
"TRIM68","GBP3"
"PLK3","VRK1"
"INCENP","ZWILCH"
"INCENP","ZWINT"
"INCENP","SPC25"
"INCENP","TPX2"
"INCENP","ZW10"
"INCENP","RRM1"
"INCENP","SPC24"
"RIPK3","XIAP"
"RIPK3","NFKBIB"
"PPIL1","WDR25"
"PPIL1","U2AF1L4"
"PPIL1","C10orf11"
"PPIL1","WBP11"
"PPP2R3B","NKD1"
"PPP2R3B","PPP4R4"
"PPP2R3B","SHOC2"
"PPP2R3B","CNEP1R1"
"IFNA21","IFNB1"
"UQCRFS1","MT-CO2"
"UQCRFS1","APOBEC3F"
"STRN4","ZNF211"
"OAS1","TRIM48"
"OAS1","GBP4"
"OAS1","IFITM1"
"OAS1","GBP7"
"OAS1","IFI6"
"OAS1","HLA-DQB1"
"OAS1","HLA-DQA2"
"OAS1","IFITM2"
"OAS1","TRIM62"
"OAS1","TRIM22"
"OAS1","GBP6"
"OAS1","IP6K2"
"OAS1","GBP5"
"OAS1","ISG20"
"OAS1","USP18"
"OAS1","OAS2"
"OAS1","FCGR1B"
"OAS1","RNASEL"
"OAS1","GBP3"
"OAS1","TRIM68"
"GTF3A","IFNB1"
"XPA","UNG"
"WDR82","NKD1"
"WDR82","PPP4R4"
"WDR82","SHOC2"
"WDR82","CNEP1R1"
"WDR82","PPP2R3B"
"SMARCD3","RORA"
"SMARCD3","NCR1"
"IFNG","IL7"
"IFNG","IL2"
"IFNG","IFNB1"
"IFNG","SELL"
"IFNG","IL4"
"IFNG","PRF1"
"IFNG","IL17A"
"IFNG","STAT4"
"IFNG","IL6"
"IFNG","CCL4"
"LIG1","UNG"
"LIG1","WDHD1"
"LIG1","RRM1"
"LIG1","XPA"
"HLA-DQB2","TRIM48"
"HLA-DQB2","GBP4"
"HLA-DQB2","GBP7"
"HLA-DQB2","HLA-DQB1"
"HLA-DQB2","HLA-DQA2"
"HLA-DQB2","TRIM62"
"HLA-DQB2","TRIM22"
"HLA-DQB2","GBP6"
"HLA-DQB2","GBP5"
"HLA-DQB2","OAS2"
"HLA-DQB2","FCGR1B"
"HLA-DQB2","GBP3"
