"V1","V2"
"ZBTB16","UBE2Q1"
"ZBTB16","IL6"
"ZBTB16","SPSB1"
"ZBTB16","VDR"
"ZBTB16","TRIM69"
"ZBTB8A","ZCCHC10"
"ZBTB8A","ZBTB49"
"RORC","IL6"
"SERPINB9","ZHX1"
"UBD","ZUFSP"
"UBD","PSMB11"
"UBD","STAMBP"
"WT1","VEGFA"
"TXN","GPX2"
"TXN","TXNRD1"
"SPP1","SHISA5"
"SPP1","IL6"
"SPP1","USP42"
"SPP1","VEGFA"
"SPP1","MMP9"
"SPP1","IGFBP3"
"SPP1","INS"
"NABP2","TAF13"
"NABP2","POLR2K"
"REV1","POLD3"
"ZC3H7A","YTHDF1"
"NFYA","ZHX1"
"NFYA","TAF12"
"WWTR1","YWHAQ"
"WWTR1","TP53BP2"
"SCO2","UBE4B"
"TWIST1","ZIC3"
"TWIST1","YY2"
"TWIST1","TWIST2"
"TWIST1","YY1"
"TWIST1","ZEB2"
"TWIST1","SNAI2"
"ZBTB17","ZBTB49"
"ZBTB17","YWHAQ"
"GFI1","ZBTB17"
"TRIM8","XIAP"
"TRIM8","UHRF2"
"IGF2","THBS1"
"IGF2","VEGFA"
"IGF2","SNRPN"
"IGF2","IGFBP3"
"IGF2","MMP1"
"IGF2","INS"
"IGF2","CDKN1C"
"IGF2","WT1"
"RAD1","RAD9B"
"RAD1","OGG1"
"TADA2A","WDTC1"
"TADA2A","SUPT7L"
"TADA2A","TAF9B"
"TADA2A","TAF7"
"TADA2A","TAF12"
"RFC2","RAD9B"
"RFC2","POLD3"
"RFC2","POLR2K"
"RFC2","USP1"
"RFC2","REV1"
"RFC2","RAD1"
"NT5C3A","UMPS"
"UBE2N","WSB1"
"UBE2N","XIAP"
"UBE2N","UBE2Q1"
"UBE2N","SPSB1"
"UBE2N","TLR3"
"UBE2N","XPC"
"UBE2N","TRIM69"
"UBE2N","ZBTB16"
"UBE2N","UBD"
"UBE2N","REV1"
"WHSC1","ZNF2"
"WHSC1","UBE2N"
"H2BFS","ZNF217"
"H2BFS","HOXA4"
"H2BFS","H2AFB1"
"H2BFS","YY1"
"H2BFS","THBS1"
"H2BFS","RARB"
"H2BFS","TNRC6C"
"H2BFS","H2AFJ"
"H2BFS","PKNOX1"
"H2BFS","PHC1"
"H2BFS","PHC3"
"H2BFS","POLR2K"
"H2BFS","UBE2N"
"H2BFS","WHSC1"
"PPP1R13B","TP53BP2"
"PHF20","TAF7"
"FUNDC1","BNIP3L"
"PRRC2C","ZC3H7A"
"TSSC1","ZUFSP"
"SMC3","H2AFB1"
"SMC3","ZWINT"
"SMC3","H2AFJ"
"SMC3","TOP2B"
"SMC3","H2BFS"
"TAF5L","TBPL2"
"TAF5L","SUPT7L"
"TAF5L","TAF13"
"TAF5L","TAF9B"
"TAF5L","TAF7"
"TAF5L","TAF1L"
"TAF5L","TAF12"
"TAF5L","TADA2A"
"ZNF24","YY1"
"ZNF24","ZBTB16"
"ZNF24","ZKSCAN4"
"YWHAE","ZNF839"
"YWHAE","TPX2"
"YWHAE","DDIT4"
"YWHAE","YWHAQ"
"YWHAE","TP53BP2"
"YWHAE","WWTR1"
"ELL3","TAF13"
"ELL3","POLR2K"
"ELL3","NABP2"
"HOXB1","H2AFB1"
"HOXB1","H2AFJ"
"HOXB1","PKNOX1"
"HOXB1","POLR2K"
"HOXB1","H2BFS"
"WDR5","H2AFB1"
"WDR5","WDTC1"
"WDR5","YY1"
"WDR5","THBS1"
"WDR5","RARB"
"WDR5","TNRC6C"
"WDR5","H2AFJ"
"WDR5","WDR82"
"WDR5","PKNOX1"
"WDR5","TAF7"
"WDR5","POLR2K"
"WDR5","TTK"
"WDR5","USP1"
"WDR5","TWIST1"
"WDR5","TADA2A"
"WDR5","H2BFS"
"WDR5","PHF20"
"WDR5","HOXB1"
"WDR48","ZBTB33"
"WDR48","ZBTB2"
"WDR48","POLD3"
"WDR48","USP1"
"WDR48","UBD"
"WDR48","RFC2"
"PROM1","VEGFA"
"PSMB10","PSMB11"
"PSMB10","NOTCH4"
"PSMB10","NFKBIB"
"PSMB10","UBD"
"SEC63","SEC24D"
"PPP2R5C","PSMB11"
"PPP2R5C","ZWINT"
"PPP2R5C","WDR82"
"PPP2R5C","INS"
"PPP2R5C","SMC3"
"PPP2R5C","PSMB10"
"CNOT8","TNRC6C"
"CNOT8","GADD45B"
"CNOT8","TNKS1BP1"
"CNOT8","ZC3H7A"
"SLC2A1","LEP"
"SLC2A1","SLC2A2"
"SLC2A1","VEGFA"
"SLC2A1","INS"
"S100A4","XIAP"
"S100A4","S100B"
"VHL","WSB1"
"VHL","PSMB11"
"VHL","UBE2Q1"
"VHL","SPSB1"
"VHL","VEGFA"
"VHL","TRIM69"
"VHL","ZBTB16"
"VHL","TXN"
"VHL","UBE2N"
"VHL","PSMB10"
"VHL","SLC2A1"
"XRCC5","VRK1"
