source,target
APP,MCM2
APP,EPB41L1
APP,CBX6
APP,HSD17B10
APP,LRRC1
APP,CAMKV
APP,DNAJC8
APP,SRSF9
APP,CEP250
APP,UCHL5
APP,RIOK1
APP,TRAF6
APP,FBF1
APP,PSMA1
APP,SNRNP70
APP,E2F6
APP,ERC1
APP,RBX1
APP,MAST1
APP,PTGS2
APP,TTK
APP,RBM42
APP,YY1
APP,DYNC1LI2
APP,RNF34
APP,FKBP5
APP,DHX16
APP,UBXN7
APP,SRPK2
APP,TARDBP
APP,FBXW9
APP,ARHGAP9
APP,SNAI2
APP,ATG16L1
APP,MDM4
APP,MAPK13
APP,TGFB2
APP,ATF2
APP,IARS
APP,DSN1
APP,PPP2R5E
APP,PPID
APP,IRF2
APP,FOS
APP,PTPN2
APP,TRIM39
APP,TET3
APP,SPSB2
APP,NOS3
APP,TGFB1
APP,UNG
APP,RBCK1
APP,COPS7B
APP,MAPK8
APP,MAPRE1
APP,TGIF1
APP,DNAJB1
APP,IGF1R
APP,RNF11
APP,TIRAP
APP,NF1
APP,H2AFV
APP,KEAP1
APP,ERCC1
APP,TNFSF13B
APP,SRRT
APP,ZAP70
APP,PPP2R5C
APP,PSME2
APP,CSNK2A1
APP,CCNE2
APP,SRSF1
APP,PSMA5
APP,PSMD5
APP,HIST1H2BA
APP,POR
APP,MAP2K6
APP,PQBP1
APP,IL1B
APP,HNRNPL
APP,CENPT
APP,MAPT
APP,PSEN2
APP,RAB3A
APP,TRIM46
APP,VTN
APP,RPS6KB1
APP,SH3RF2
APP,NFYA
APP,SRC
APP,YWHAZ
APP,UBE2S
APP,PPP1R10
APP,PDDC1
APP,MLLT6
APP,SNRNP40
APP,UBB
APP,STIP1
APP,CIRBP
APP,UBE2G1
APP,MAPK1
APP,NFKB1
APP,PROC
APP,TGFB3
APP,KALRN
APP,CCR7
APP,MAPK3
APP,SYP
APP,PIK3CA
APP,EGF
APP,TP53
APP,HMGB1
APP,TNF
APP,CASP8
APP,CCL5
APP,DLG4
APP,GNAQ
APP,SPP1
APP,CHRM1
APP,CCR5
APP,DNAJC3
APP,CXCL2
APP,P2RY6
APP,PRNP
APP,MAPK9
APP,MEPE
APP,KTN1
APP,GRB2
APP,CXCL1
APP,CCL4
APP,LPAR2
APP,NGF
APP,FN1
APP,HSP90B1
APP,VTI1B
APP,MAGED2
APP,HSPA5
APP,NTRK1
APP,CXCL3
APP,NFKB2
APP,CCL4L1
APP,PTAFR
APP,HTT
APP,IGF1
APP,GTPBP2
APP,CXCL8
APP,FOXO3
APP,LPAR1
APP,CXCR3
APP,SDC2
APP,EDN1
APP,LPAR4
APP,IGFBP7
APP,GNG2
APP,B2M
APP,RELA
APP,MEN1
APP,VEGFA
APP,IL6
APP,GPR37
APP,FYN
APP,PIK3R1
TFAP2A,TP53
TFAP2A,XRCC6
TFAP2A,UBN1
TFAP2A,VEGFA
TFAP2A,YY1
TFAP2A,UBE2I
TFAP2A,YBX1
TFAP2A,XRCC5
TFAP2A,TNF
EP300,MTOR
EP300,HIST1H1A
EP300,MAX
EP300,RORA
EP300,RUNX3
EP300,TP53BP1
EP300,RBBP5
EP300,PTGS2
EP300,HDAC6
EP300,FOS
EP300,HIST2H2BE
EP300,MCM4
EP300,MAPT
EP300,SMAD2
EP300,MTDH
EP300,SMAD3
EP300,SMAD4
EP300,UBN1
EP300,SP1
EP300,HIF1A
EP300,HIST1H3A
EP300,JUND
EP300,NFATC1
EP300,YAP1
EP300,IRF5
EP300,HNRNPA2B1
EP300,TP63
EP300,STAT1
EP300,PIAS1
EP300,TNIP2
EP300,STAT5A
EP300,HIST2H2AC
EP300,SOX2
EP300,IGF1R
EP300,PSMD10
EP300,MDM2
EP300,IRF2
EP300,RUNX1
EP300,RPS6KB2
EP300,TRAF2
EP300,STAT3
