source,target
BRCA1,RUVBL1
BRCA1,DAZAP1
BRCA1,SF3B2
BRCA1,FAM120A
BRCA1,TUBA4A
BRCA1,HNRNPF
BRCA1,DYNC1H1
BRCA1,SF3A1
BRCA1,RPL28
BRCA1,PSMC5
BRCA1,PSMD4
BRCA1,RPL7A
BRCA1,EIF3E
BRCA1,RBM14
BRCA1,COPE
BRCA1,MAP3K14
BRCA1,RPL31
BRCA1,SMC3
BRCA1,NAT10
BRCA1,PSMD6
BRCA1,PSMD1
BRCA1,PSMD12
BRCA1,GNB2L1
BRCA1,POLR2C
BRCA1,WEE1
BRCA1,TRIM25
BRCA1,KIF1B
BRCA1,JAK2
BRCA1,LMNA
BRCA1,RFC1
BRCA1,PCNA
BRCA1,DCN
BRCA1,HNRNPA2B1
BRCA1,RPL6
BRCA1,TFAP2A
BRCA1,CDC37
BRCA1,HIST1H4A
BRCA1,CCT4
BRCA1,CSNK2B
BRCA1,EFTUD2
BRCA1,SF3B3
BRCA1,PSMD13
BRCA1,POM121
BRCA1,YWHAQ
BRCA1,UBE2I
BRCA1,RPS9
BRCA1,TUBB6
BRCA1,TIAL1
BRCA1,MAP3K1
BRCA1,RPL30
BRCA1,BUB3
BRCA1,TRA2B
BRCA1,NFE2L2
BRCA1,TUBB
BRCA1,RPL8
BRCA1,RPS3A
BRCA1,HNRNPK
BRCA1,SSB
BRCA1,RPL7
BRCA1,XRCC6
BRCA1,RPS16
BRCA1,EEF1D
BRCA1,NELFB
BRCA1,EWSR1
BRCA1,RACGAP1
BRCA1,USP11
BRCA1,SF3A3
BRCA1,POLR2G
BRCA1,SUMO1
BRCA1,ESR1
BRCA1,RPS14
BRCA1,HNRNPUL1
BRCA1,FUS
BRCA1,POLR2E
BRCA1,HNRNPA0
BRCA1,SRP72
BRCA1,XPO1
BRCA1,RPL24
BRCA1,RPS23
BRCA1,PML
BRCA1,TRIM28
BRCA1,RPL23
BRCA1,CIRH1A
BRCA1,TAF15
BRCA1,DDX6
BRCA1,HNRNPR
BRCA1,POLR2J
BRCA1,POLR2D
BRCA1,POLR2I
BRCA1,YBX1
BRCA1,DNAJA3
BRCA1,HNRNPH2
BRCA1,RPAP2
BRCA1,MYCN
BRCA1,EED
BRCA1,DCTN1
BRCA1,PFKP
BRCA1,PSMC3
BRCA1,POLH
BRCA1,CCT3
BRCA1,PIK3R1
BRCA1,COMMD1
BRCA1,RUVBL2
BRCA1,CAND1
BRCA1,PSMC6
BRCA1,NOP56
BRCA1,RPS15A
BRCA1,FXR2
BRCA1,TKT
BRCA1,TALDO1
BRCA1,PCBP2
BRCA1,RPSA
BRCA1,RPL9
BRCA1,ZC3HAV1
BRCA1,NPM1
BRCA1,DDX5
BRCA1,DYNC1I2
BRCA1,TUBB4B
BRCA1,SYNCRIP
BRCA1,RPS8
BRCA1,RAN
BRCA1,UBE2D2
BRCA1,HNRNPA3
BRCA1,RECQL4
BRCA1,MKI67
BRCA1,EGLN3
BRCA1,LCK
BRCA1,HNRNPA1
BRCA1,CSDE1
BRCA1,PAICS
BRCA1,SQSTM1
BRCA1,PCBP1
BRCA1,HNRNPH1
BRCA1,SF3B1
BRCA1,MATR3
BRCA1,CDH1
BRCA1,PSMD2
BRCA1,RALY
BRCA1,GTF2F1
BRCA1,RPS25
BRCA1,RPLP2
BRCA1,SUZ12
BRCA1,RPL12
BRCA1,CCNT1
BRCA1,TCEB2
BRCA1,CBX8
BRCA1,ERBB2
BRCA1,RPS27A
BRCA1,ERCC3
BRCA1,VCAM1
BRCA1,UBB
BRCA1,POLR2L
BRCA1,GTF2F2
BRCA1,POLR2K
BRCA1,RNF2
BRCA1,TFDP1
BRCA1,RFC3
BRCA1,POLR2B
BRCA1,PAXIP1
BRCA1,UBA52
BRCA1,POLR2F
BRCA1,RFC5
BRCA1,RNF4
BRCA1,PCGF2
BRCA1,CUL7
BRCA1,TCEB1
BRCA1,TCEA1
PSEN2,PSENEN
PSEN2,PSEN2
PSEN2,TRAF6
PSEN2,RNF115
PSEN2,YBX1
CAPN1,VCAM1
CAPN1,HNRNPL
CAPN1,PSEN2
CAPN1,TGFB1
CAPN1,GSTO1
CAPN1,YAP1
CAPN1,MYC
CAPN1,PTGDS
CAPN1,RAD21
CAPN1,G6PD
CAPN1,TP53
CAPN1,NMT1
CAPN1,TRIP4
CAPN1,RPS6KA1
CAPN1,MAPT
